date,patients,Tave,Tmax,Tmin,wind,suntime,humidily,rain
1,  32, 27.785,  33.2,   23.88421053,    1.965,  8.978947368,    76,     0.366666667
2,  39, 28.295,  33.465, 24.5,           2.42,   10.65789474,    70.6,   0.133333333
3,  8,  26.325,   30.49,  23.74210526,    1.905,  1.826315789,    83,     16.68333333
4,  68, 28.455,  34.13,  24.01578947,    2.05,   11.9,           74.4,   0.133333333
5,  97, 28.98,   35.63,  24.25789474,    1.705,  12.31052632,    75.2,   0.133333333
6,  44, 28.59,   34.415, 23.72105263,    2.495,  7.542105263,    68.6,   0.233333333
7,  62, 29.325,  35.12,  25.37894737,    2.295,  8.026315789,    70.6,   0.816666667
8,  63, 28.185,  34.5,   24.75789474,    2.26,   8.068421053,    78.8,   9.283333333
9,  4,  25.615,   28.17,  23.50526316,    5.805,  0.415789474,    84.2,   38.11666667
10, 14, 25.95,   30.59,  22.57368421,    2.8,    6.873684211,    75.8,   3.283333333
11, 21, 25.19,   29.28,  21.68947368,    1.59,   2.2,            81,     1.083333333
12, 6,  23.74,    25.475, 22.46315789,    1.39,   0.005263158,    92.4,   12.86666667
13, 2,  23.88,    25.285, 22.35789474,    2.815,  0,              95,     6,0.08333333
14, 1,  23.725,   25.52,  21.85263158,    2.8,    0,              95.25,  74.53333333
15, 9,  23.52,    28.105, 20.47894737,    2.065,  3.173684211,    87.2,   24.23333333
16, 10, 23.575,  26.7,   21.27894737,    1.33,   0.431578947,    85.6,   0.6
17, 4,  23.775,   25.115, 22.55789474,    3.07,   0,              93.5,   27.65
18, 1,  24.27,    26.83,  22.6,           3.035,  0.326315789,    91,     19.93333333
19, 2,  22.74,    24.36,  21.23157895,    2.675,  0.094736842,    86.75,  22.15
20, 10, 23.555,  26.955, 21.63157895,    2.18,   0.8,            86.8,   3.033333333
21, 3,  24.89,    27.455, 22.07368421,    3.02,   0.078947368,    84.8,   1.033333333
22, 14, 26.42,   30.36,  24.28947368,    2.815,  2.368421053,    84.6,   1.65
23, 25, 26.325,  30.5,   23.92631579,    1.66,   2.884210526,    86.5,   1.366666667
24, 10, 26.275,  28.79,  24.25789474,    3.685,  0.405263158,    84.2,   0.566666667
25, 32, 27.64,   32.085, 24.74210526,    2.535,  5.121052632,    80.2,   1.133333333
26, 10, 27.275,  31.68,  24.22631579,    1.745,  3.578947368,    82.4,   0.15
27, 34, 27.295,  32.97,  23.21578947,    1.6,    10.94736842,    76.6,   0.133333333
28, 21, 27.33,   32.465, 23.16842105,    1.89,   8.842105263,    76.2,   0.1
29, 32, 27.78,   32.765, 24.21578947,    1.69,   9.368421053,    76.6,   0.133333333
30, 29, 27.52,   32.655, 23.93684211,    1.765,  7.873684211,    78.2,   1.166666667
31, 12, 26.825,  31.58,  23.8,           1.755,  7.426315789,    75.2,   0.2
